School Name,State,Classification,StudentBody,SEVASize
Addison,AL,1A,322,400
Alabama School for the Deaf,AL,1A,,400
Appalachian,AL,1A,636,400
Athens Bible,AL,1A,330,400
Autaugaville,AL,1A,328,400
Belgreen,AL,1A,452,400
Berry,AL,1A,269,400
Brantley,AL,1A,,400
Brilliant,AL,1A,151,400
Cedar Bluff,AL,1A,,400
Cherokee,AL,1A,,400
Coosa Christian,AL,1A,,400
Cornerstone,AL,1A,,400
Covenant Christian,AL,1A,,400
Decatur Heritage Christian Academy,AL,1A,,400
Donoho,AL,1A,,400
Ellwood Christian,AL,1A,,400
Faith Christian,AL,1A,,400
Florala,AL,1A,219,400
Fruitdale,AL,1A,,400
Gaylesville,AL,1A,,400
Georgiana,AL,1A,,400
Hackleburg,AL,1A,,400
Highland Home,AL,1A,,400
Holy Spirit Catholic,AL,1A,,400
Houston County,AL,1A,,400
Hubbertville,AL,1A,,400
Isabella,AL,1A,,400
Jacksonville Christian Academy,AL,1A,,400
Jefferson Christian Academy,AL,1A,,400
Johnson,AL,1A,,400
Kinston,AL,1A,,400
Linden,AL,1A,,400
Lindsay Lane Christian Academy,AL,1A,,400
Loachapoka,AL,1A,,400
Lynn,AL,1A,,400
Maplesville,AL,1A,,400
Marengo,AL,1A,,400
Marion County,AL,1A,,400
McIntosh,AL,1A,,400
McKenzie,AL,1A,,400
Meek,AL,1A,,400
Millry,AL,1A,,400
Notasulga,AL,1A,,400
Paint Rock Valley,AL,1A,,400
Phillips,AL,1A,,400
Pickens County,AL,1A,,400
Pleasant Home,AL,1A,,400
R.A. Hubbard,AL,1A,,400
Ragland,AL,1A,,400
Red Level,AL,1A,,400
Sacred Heart Catholic,AL,1A,,400
Shades Mountain Christian,AL,1A,,400
Shields,AL,1A,,400
Shoals Christian,AL,1A,,400
Skyline,AL,1A,,400
South Lamar,AL,1A,,400
Southeastern,AL,1A,,400
Spring Garden,AL,1A,,400
Sumiton Christian,AL,1A,,400
Sweet Water,AL,1A,,400
Talladega County Central,AL,1A,,400
Tharptown,AL,1A,,400
Valley Head,AL,1A,,400
